PLAY #,DN,playNum,ydLine,DOWN,DIST,DD,GN/LS,PLAY TYPE,OFF FORM,OFF PLAY,PREVIOUS PLAY,prevPlay,currentPlay,Down/Dist Scenarios,Game Changing Scenarios,Run/Pass Scenarios
152.0,2.0,152.0,-25.0,2.0,6.0,2.06.0,30.0,Run,QUADS,IZ RD,BUBBLE,BUBBLE,IZ RD,0,0,Run < 10 yds
154.0,1.0,154.0,45.0,1.0,10.0,1.010.0,4.0,Pass,TWINS OPEN SOFTER,PA JET SWEEP,IZ RD,IZ RD,PA JET SWEEP,2nd Down Conversion,0,Run for 1st Down
170.0,1.0,170.0,-30.0,1.0,10.0,1.010.0,4.0,Run,QUEENS OPEN,IZ RD,PA JET SWEEP,PA JET SWEEP,IZ RD,0,0,Run for 1st Down
171.0,2.0,171.0,-34.0,2.0,6.0,2.06.0,8.0,Run,TWINS OPEN HARDER,IZ RD,IZ RD,IZ RD,IZ RD,0,0,0
173.0,1.0,173.0,-42.0,1.0,10.0,1.010.0,4.0,Pass,QUEENS OPEN BUNCH,RB SWING,IZ RD,IZ RD,RB SWING,2nd Down Conversion,0,Run for 1st Down
175.0,2.0,175.0,-46.0,2.0,6.0,2.06.0,-1.0,Run,QUEENS OPEN BUNCH,IZ3 RD,RB SWING,RB SWING,IZ3 RD,0,0,Run < 0 yds
177.0,3.0,177.0,-45.0,3.0,7.0,3.07.0,37.0,Pass,QUADS,5ST,IZ3 RD,IZ3 RD,5ST,0,Run/Pass > 30 yds,Run < 10 yds
179.0,1.0,179.0,18.0,1.0,10.0,1.010.0,4.0,Run,QUEENS OPEN BUNCH,JET SWEEP,5ST,5ST,JET SWEEP,3rd Down Conversion,0,Run for 1st Down
181.0,2.0,181.0,22.0,2.0,14.0,2.014.0,13.0,Run,SPREAD,IZ,JET SWEEP,JET SWEEP,IZ,0,0,Run < 10 yds
201.0,1.0,201.0,-19.0,1.0,10.0,1.010.0,8.0,Run,SPREAD,IZ3 RD,IZ,IZ,IZ3 RD,2nd Down Conversion,0,Run for 1st Down
